date,txVolume,txCount,marketcap,price,exchangeVolume,generatedCoins,fees,symbol
15/12/2013,15152060.79,128955,3488670,0.000559,0,834560247,399098.336,doge
16/12/2013,21465162.91,94694,1970320,0.000299,0,791014644,3890423.279,doge
17/12/2013,2575472.156,92528,1526120,0.000207,0,707277501,374.4934019,doge
18/12/2013,3789441.182,95216,2160040,0.000267,0,739786847,5188.434404,doge
19/12/2013,10919230.7,192523,3487800,0.000395,0,771582898,4689.415576,doge
20/12/2013,50441971.01,199950,10967000,0.001143,0,758765431,1412.579055,doge
21/12/2013,27934092.89,167414,7251820,0.0007,0,726686334,1842.713224,doge
22/12/2013,14860540.09,158224,4333660,0.000391,0,700004797,1341.833896,doge
23/12/2013,12741031.27,149008,3682510,0.000313,0,734348244,1234.363984,doge
24/12/2013,14600987.68,126443,5636240,0.00045,0,727433683,1089.824504,doge
25/12/2013,24691477.81,131133,9086260,0.000686,0,730638124,855.7454939,doge
26/12/2013,18865055.9,125828,8217120,0.000588,0,713324497,14802.2909,doge
27/12/2013,19117491.4,133542,8854330,0.000603,477422,683197526,47260.01284,doge
28/12/2013,16034986.5,113776,8051360,0.000524,341581,718112583,38676.292,doge
29/12/2013,13280687.82,116612,7377480,0.000459,360974,717340085,37271.63104,doge
30/12/2013,14113717.69,122836,7598510,0.000452,276660,708484813,58368.51242,doge
31/12/2013,12408014.51,108639,7311460,0.000418,273400,703929399,53396.48107,doge
1/01/2014,13560793.97,110500,7701190,0.000423,307917,743166326,56073.07141,doge
2/01/2014,13560046.07,112216,8504140,0.000449,318037,691044881,68795.7934,doge
3/01/2014,11918570.06,111309,6940830,0.000353,303106,699428419,62019.13783,doge
4/01/2014,9983915.159,111888,6198170,0.000305,313907,678663575,64029.34448,doge
5/01/2014,9446157.167,92521,6318730,0.0003,245107,707058677,60034.45485,doge
6/01/2014,7611900.339,93503,5899650,0.000271,265529,704199226,63194.55144,doge
7/01/2014,7442420.767,93175,5726300,0.000255,212892,711509001,62060.10414,doge
8/01/2014,6140822.574,86764,5159610,0.000223,174256,684762013,53667.0091,doge
9/01/2014,7555226.818,91501,5415010,0.000227,314644,743974639,68836.34716,doge
10/01/2014,7265708.696,96897,6034890,0.000246,570553,703304146,75218.04778,doge
11/01/2014,11566512.38,96967,9428560,0.000373,986660,710307257,69939.94576,doge
12/01/2014,11889414.44,89093,9321690,0.000359,296158,677405238,104057.2665,doge
13/01/2014,11584689.64,93710,9175880,0.000344,391890,716739626,115912.418,doge
14/01/2014,9503947.012,100358,7619940,0.000278,577691,734150583,112231.8089,doge
15/01/2014,19502898.49,99304,9604290,0.000342,1259190,756097987,120506.904,doge
16/01/2014,18126447,88080,11924600,0.000413,483679,704298657,99756.37579,doge
17/01/2014,17534903.37,113775,11354800,0.000384,716054,759774182,203021.8812,doge
18/01/2014,18512454,113071,12584500,0.000416,2998020,738702172,190861.8226,doge
19/01/2014,33660983.55,125425,18265900,0.000588,3509460,740013410,206182.6917,doge
20/01/2014,46014694.01,133169,22181200,0.000697,9061440,732146964,191358.5736,doge
21/01/2014,282952836.9,150611,40764900,0.001252,13114300,771119001,229941.6715,doge
22/01/2014,209920133.6,155733,65907400,0.001977,5896280,700757950,203011.659,doge
23/01/2014,206147997,134405,50913700,0.001496,5532260,715858045,165813.582,doge
24/01/2014,158178787.1,129611,62568300,0.001801,4732940,718536450,143728.6067,doge
25/01/2014,261608960.4,111903,63241800,0.001784,3206090,698467324,128393.3824,doge
26/01/2014,282155431.4,121651,66670100,0.001844,4570820,694049949,145765.6664,doge
27/01/2014,344629186.8,121347,58676000,0.001592,1999700,717784289,138088.377,doge
28/01/2014,413507246.4,105078,45943000,0.001223,2112100,681894300,147233.4713,doge
29/01/2014,210934172,131621,51737400,0.001353,2488540,721794857,144841.8418,doge
30/01/2014,218621333.6,128877,62452400,0.001602,2168880,756935544,153180.9531,doge
31/01/2014,170213222.8,124719,60477400,0.001522,1003380,726482009,115584.9895,doge
1/02/2014,97498143.84,117451,63019600,0.001558,1084150,711840888,124029.3559,doge
2/02/2014,128959793.4,117639,59662500,0.001449,2000720,692002807,120907.07,doge
3/02/2014,182944347.6,111852,53467700,0.001277,1879300,712478688,120587.9868,doge
4/02/2014,302809676.1,125052,54005800,0.001269,2569440,726779264,124553.3546,doge
5/02/2014,175371769.4,105693,50366800,0.001163,2623790,715279697,133093.7553,doge
6/02/2014,220006940.3,110259,57574800,0.001308,1831240,746665483,146172.4069,doge
7/02/2014,167661984.8,111766,58566400,0.001308,1401220,717094725,132098.6423,doge
8/02/2014,183653559.4,100784,50250600,0.001105,789545,723105044,136517.9291,doge
9/02/2014,152505858.7,104106,49773700,0.001077,2538170,709335014,137520.4718,doge
10/02/2014,170835004,111971,60361800,0.001287,4810030,753740511,145284.1671,doge
11/02/2014,170433673.5,112163,67385100,0.001414,9117540,693447631,141398.3493,doge
12/02/2014,312913133.1,110865,87842000,0.001817,6437240,726209077,139471.1494,doge
13/02/2014,127595678.6,105509,89197700,0.001817,5636470,718763439,128800.1042,doge
14/02/2014,125925792.9,88712,77942300,0.001565,6470210,375119497,105303.3083,doge
15/02/2014,82415320.77,79090,79014400,0.001575,4900070,350525449,99723.01519,doge
16/02/2014,53410271.85,78463,76647400,0.001517,2110320,351917752,95237.84748,doge
17/02/2014,34532841.27,48248,71737400,0.00141,4679940,343876947,62845.23521,doge
18/02/2014,14476574.39,33281,68956500,0.001346,2027290,382126274,41323.1559,doge
19/02/2014,47659776.48,38962,73485600,0.001424,2416530,353450030,47506.08004,doge
20/02/2014,49554767.89,34292,69869700,0.001345,2420130,351543777,45337.58049,doge
21/02/2014,60450723.42,37375,63418800,0.001212,2149320,362765129,43812.13164,doge
22/02/2014,63986480.71,38011,63620000,0.001208,1455000,367985333,35170.08617,doge
23/02/2014,77631631.67,46069,67881200,0.00128,2818150,355215551,43834.61956,doge
24/02/2014,70179959.21,40587,62802400,0.001176,1907020,348568443,54132.43976,doge
25/02/2014,70928055.11,39906,56495400,0.001051,4596380,361513335,59236.1851,doge
26/02/2014,42212884.91,40267,53321900,0.000986,3165270,373035809,37526.81453,doge
27/02/2014,49094789.58,39572,64970300,0.001193,1492960,356610080,45193.67724,doge
28/02/2014,27774787.39,31639,63750700,0.001163,1519040,356240837,36813.33123,doge
1/03/2014,13935447.07,23128,59172100,0.001072,1227770,353507732,28630.65345,doge
2/03/2014,13789779.24,23188,58739500,0.001058,1498200,358796477,16787.15406,doge
3/03/2014,11531598.92,24686,53446500,0.000956,3652600,364080766,38625.01554,doge
4/03/2014,12468330.83,26429,61839700,0.001099,3778550,348320322,45992.11616,doge
5/03/2014,13089562.51,23952,58994200,0.001042,1247530,353226673,25540.94586,doge
6/03/2014,10933171.2,23496,60275100,0.001058,1093730,347308787,38713.05103,doge
7/03/2014,15494128.93,27662,57955400,0.001011,1551340,355448237,18729.05961,doge
8/03/2014,9221734.14,20871,53483300,0.000927,1319210,358021307,17775.48495,doge
9/03/2014,8382595.675,20160,48232000,0.000831,1444630,361075874,36945.4163,doge
10/03/2014,7302484.713,21204,50844900,0.000871,1428770,350968646,17939.44372,doge
11/03/2014,11527160.13,20923,45809000,0.00078,3138850,348395343,17310.32244,doge
12/03/2014,18538510.42,22997,45247200,0.000766,4777870,360063926,18909.09108,doge
13/03/2014,14332454.25,20047,53882800,0.000906,2111640,371184164,15825.04017,doge
14/03/2014,12333750.81,19732,51950500,0.000868,991836,336066640,16001.58373,doge
15/03/2014,7151016.098,17431,52155800,0.000867,835369,344781383,13620.82548,doge
16/03/2014,10375904.91,18996,50855900,0.000841,776123,351827952,45528.23828,doge
17/03/2014,7862746.646,17742,50037400,0.000822,1484340,347105490,16959.59865,doge
18/03/2014,9383266.061,19980,47693100,0.000779,1148100,332000000,16788.88891,doge
19/03/2014,12422897.38,19238,47129100,0.000766,1550450,336250000,15506.65492,doge
20/03/2014,13562150.44,18187,47782700,0.000772,888744,335250000,14897.39754,doge
21/03/2014,11877296.95,18044,44987700,0.000723,2157110,330000000,13938.39657,doge
22/03/2014,11334979.49,16365,43093400,0.000689,830262,338250000,13027.74023,doge
23/03/2014,29493637.95,18080,43145800,0.000686,882613,330750000,51027.07194,doge
24/03/2014,38114816.04,21176,47165200,0.000746,1183650,334000000,15078.3165,doge
25/03/2014,29884323.69,19521,47392600,0.000746,911303,334000000,14998.96726,doge
26/03/2014,18584899.07,22413,41696200,0.000653,709492,331750000,18372.19608,doge
27/03/2014,12043132.12,18900,41002100,0.000639,1935920,327000000,22141.78452,doge
28/03/2014,10215421.28,19223,29246000,0.000453,2114930,327750000,20036.80702,doge
29/03/2014,7254133.123,19902,34046700,0.000525,1877200,336250000,18860.16811,doge
30/03/2014,7327364.763,18341,38362900,0.000588,1337820,332500000,13864.73399,doge
31/03/2014,6199856.859,18686,34814200,0.000531,1377400,330500000,17047.94277,doge
1/04/2014,4739673.276,18171,33341000,0.000506,845770,323750000,14209.65701,doge
2/04/2014,12222637.73,19352,35451100,0.000536,1385560,328500000,13869.78248,doge
3/04/2014,7080587.181,18745,28536700,0.000429,1151820,330500000,14569.97693,doge
4/04/2014,6508591.018,19834,30082400,0.00045,1043010,322750000,16088.68027,doge
5/04/2014,3614234.808,18125,29999100,0.000447,473934,321000000,13804.09639,doge
6/04/2014,2602324.977,20098,31539200,0.000467,701008,315500000,17142.97733,doge
7/04/2014,3309146.876,19302,31291600,0.000462,782860,322750000,16217.31286,doge
8/04/2014,3942668.048,18320,31061000,0.000456,667073,328249990.4,16889.26038,doge
9/04/2014,5337641.609,17915,30826600,0.00045,440661,319749993,13192.66176,doge
10/04/2014,4357949.682,18889,30338900,0.000441,862264,322249978,18639.65505,doge
11/04/2014,2524169.606,19640,23999700,0.000347,1096790,326000000,16481.01347,doge
12/04/2014,2392510.353,16898,30628900,0.000441,503227,322999995,12063.2652,doge
13/04/2014,2389782.993,17288,29314200,0.00042,512104,330749976,12577.97784,doge
14/04/2014,2521122.86,19706,27196100,0.000388,1416560,320750000,18814.23799,doge
15/04/2014,6514789.622,19981,32426200,0.000461,2503670,325750000,16213.55249,doge
16/04/2014,9863486.477,23541,41899900,0.000592,6425170,329999993,21335.02552,doge
17/04/2014,12872393.49,20025,50410700,0.00071,3792830,333750000,16920.8302,doge
18/04/2014,7802190.85,18454,45954600,0.000644,1511350,330000000,15602.85233,doge
19/04/2014,9366529.018,22141,43987600,0.000613,1622690,336500000,19080.93832,doge
20/04/2014,4755425.296,20265,46571800,0.000646,1089990,340500000,16132.1845,doge
21/04/2014,2973208.094,23936,45538700,0.000629,1021950,337000000,19087.00825,doge
22/04/2014,4725542.815,21379,45194800,0.000621,1014070,335250000,20370.36276,doge
23/04/2014,4895195.125,20149,42958700,0.000588,1276710,336500000,15857.02627,doge
24/04/2014,4546316.772,20456,41681300,0.000568,1031310,329750000,17786.21783,doge
25/04/2014,13877212.83,19832,43259800,0.000587,4732600,337250000,14679.04026,doge
26/04/2014,6035295.943,20343,35290700,0.000476,998929,330760000,21688.60291,doge
27/04/2014,3070551.678,16248,35010200,0.000471,708249,326500000,18440.14113,doge
28/04/2014,4589642.712,18640,32620500,0.000437,1578900,269875000,16481.84241,doge
29/04/2014,2449964.533,16965,36185000,0.000483,1302450,168510000,12451.07396,doge
30/04/2014,3294914.708,16662,37234400,0.000495,1149250,168125000,13705.73013,doge
1/05/2014,2139496.29,15173,37752200,0.000501,542606,168000000,11188.57391,doge
2/05/2014,2429565.582,15922,38013300,0.000504,540769,163500000,12056.34189,doge
3/05/2014,2493740.408,15082,36495000,0.000482,519009,166875000,10933.46237,doge
4/05/2014,2609029.79,16809,35085100,0.000463,560527,162500000,11627.36878,doge
5/05/2014,2029847.173,17105,35531400,0.000468,523194,164500000,14437.81717,doge
6/05/2014,1950454.19,16449,34542000,0.000454,750721,170875000,13020.92763,doge
7/05/2014,1909822.517,17034,34895400,0.000457,685166,165999992,13914.08239,doge
