date,txVolume,txCount,marketcap,price,exchangeVolume,generatedCoins,fees,symbol
7/08/2015,5684639.71,2016,0,2.83,164329,27437.65625,37.31841351,eth
8/08/2015,4692095.194,2807,167911000,2.79,674188,27943.4375,68.09997007,eth
9/08/2015,822968.5064,1298,42637600,0.706136,532170,27178.28125,14.0989497,eth
10/08/2015,1193011.288,1999,43130000,0.713989,405283,27817.34375,31.16514444,eth
11/08/2015,1051922.387,4945,42796500,0.708087,1463100,28027.8125,11.31144859,eth
12/08/2015,792332.721,1993,64018400,1.06,2150620,27370.9375,32.5869924,eth
13/08/2015,2181178.652,2807,73935400,1.22,4068680,28268.125,24.92916911,eth
14/08/2015,4154762.744,3144,109594000,1.81,4637030,31106.71875,14.35483411,eth
15/08/2015,8336306.792,2264,109160000,1.8,2554360,28512.65625,8.836593028,eth
16/08/2015,2870425.718,2422,102028000,1.68,3550790,27094.53125,6.677237925,eth
17/08/2015,3546720.033,2503,95819700,1.58,1942830,28118.90625,7.64281184,eth
18/08/2015,1889437.076,2485,88143200,1.22,1485680,26162.8125,11.90607134,eth
19/08/2015,1345002.293,3224,84663900,1.17,1486240,27282.03125,15.43095067,eth
20/08/2015,521679.8076,2266,90809000,1.25,2843760,21057.03125,6.855566943,eth
21/08/2015,868536.9585,3888,107266000,1.48,2020970,26690.9375,7.855041725,eth
22/08/2015,692395.5571,3562,101404000,1.4,948310,27550.46875,42.54717183,eth
23/08/2015,687012.1175,4126,99894500,1.38,1589300,26255.625,8.049767673,eth
24/08/2015,623945.2454,4423,97791600,1.35,924920,27333.28125,8.87628542,eth
25/08/2015,499939.8473,4449,89321900,1.23,1307180,26736.09375,8.259755825,eth
26/08/2015,496507.8597,4112,82384400,1.13,1056750,26137.96875,7.447729279,eth
27/08/2015,319146.9605,5568,85106100,1.17,686662,24532.8125,8.670963043,eth
28/08/2015,345519.9479,4723,83521700,1.15,721872,24225.15625,9.925148371,eth
29/08/2015,512109.4264,4109,86887600,1.19,375377,22525,5.507451526,eth
30/08/2015,490782.1774,4547,86145900,1.18,1337650,21453.59375,5.634173742,eth
31/08/2015,508000.9748,5165,96251000,1.32,1447180,21293.4375,7.424533814,eth
1/09/2015,1916754.265,5114,98617200,1.35,778862,20339.21875,7.843769856,eth
2/09/2015,374646.6118,5160,98504600,1.35,883769,18391.09375,8.153735331,eth
3/09/2015,723808.3525,4738,94418700,1.3,702991,17380.9375,6.970025674,eth
4/09/2015,222451.2934,5601,92234100,1.26,474391,23081.875,9.733856361,eth
5/09/2015,214369.1175,5471,93402300,1.28,448453,25629.0625,9.141228324,eth
6/09/2015,396954.2379,5489,97625500,1.34,491968,26168.28125,8.055487735,eth
7/09/2015,263278.9001,5626,94585300,1.3,489014,25460.46875,9.256422396,eth
8/09/2015,329606.8219,5604,91020700,1.25,427892,25888.75,10.3799263,eth
9/09/2015,1420839.173,5577,90518300,1.24,366748,26431.40625,9.840601069,eth
10/09/2015,249258.7547,5328,88230500,1.21,662782,26444.21875,7.925807171,eth
11/09/2015,842671.3987,6439,85144300,1.16,1942600,27238.59375,8.876728153,eth
12/09/2015,214854.4682,5555,72179000,0.987228,772430,26402.34375,11.35483319,eth
13/09/2015,232924.671,6017,76193600,1.04,644138,26171.40625,9.578725674,eth
14/09/2015,251532.0977,5542,68814400,0.940566,741085,25588.125,9.901548419,eth
15/09/2015,528121.7419,5390,64052400,0.875189,703390,25615.3125,8.426997145,eth
16/09/2015,522113.2241,5846,68963300,0.941977,615593,26318.125,15.14661708,eth
17/09/2015,268192.3159,5343,66415200,0.906865,897940,25435.625,8.556523791,eth
18/09/2015,356656.4913,5733,64071300,0.874574,484622,25894.21875,11.83482107,eth
19/09/2015,331975.533,5154,62262700,0.849603,386988,27187.1875,7.982204373,eth
20/09/2015,115939.607,6341,64600000,0.881191,508314,27982.65625,10.96964547,eth
21/09/2015,148483.7981,6244,69045900,0.941496,424039,26651.875,10.18074194,eth
22/09/2015,178937.0815,6759,67444200,0.919337,487914,26370.3125,11.40414518,eth
23/09/2015,118464.0732,7369,66309600,0.90356,200541,27080.3125,10.7002671,eth
24/09/2015,275064.0026,6185,65836400,0.896796,842505,26385.78125,10.31950627,eth
25/09/2015,542954.7807,5801,60221400,0.820031,903457,27003.4375,9.836594916,eth
26/09/2015,185398.4888,5903,54188900,0.73763,369620,25910.3125,9.289146479,eth
27/09/2015,302982.7867,5732,58149600,0.791277,413801,25011.09375,8.42387045,eth
28/09/2015,516557.9655,6102,53201800,0.723715,1320890,24714.21875,9.272346609,eth
29/09/2015,234208.7173,5715,42607700,0.579414,913992,24364.6875,8.877328421,eth
30/09/2015,337049.0088,5834,48636600,0.661192,619926,25097.5,8.385327116,eth
1/10/2015,395443.3595,6402,54032300,0.734307,596084,27422.03125,8.767949463,eth
2/10/2015,101770.4468,6053,50328700,0.683732,219318,26913.125,9.765296663,eth
3/10/2015,83472.35791,6101,49981900,0.678783,163326,26453.75,9.791648364,eth
4/10/2015,190487.1838,6619,50556000,0.686343,103497,25480.15625,9.431925786,eth
5/10/2015,109299.047,6226,49131600,0.666784,234263,26136.875,11.48677351,eth
6/10/2015,315241.2515,6440,45863300,0.622218,262674,25036.5625,9.995299954,eth
7/10/2015,201786.9551,7100,47964700,0.650515,218327,26133.59375,12.18298992,eth
8/10/2015,191033.8313,6912,44955900,0.609501,310266,26778.4375,11.97293337,eth
9/10/2015,146902.6186,6751,48334900,0.655084,386420,25451.40625,11.30921838,eth
10/10/2015,82385.52827,6519,47325200,0.641187,141555,25499.6875,11.38281162,eth
11/10/2015,95944.42056,6011,46327500,0.627461,102128,26507.03125,8.998794599,eth
12/10/2015,171873.5743,6527,46864200,0.634515,109567,26803.75,10.70380732,eth
13/10/2015,258212.8819,6765,46395200,0.627943,303044,26668.28125,12.3232488,eth
14/10/2015,607655.4526,6772,45250600,0.61224,971664,25875.625,11.83199852,eth
15/10/2015,418401.4162,6424,38688300,0.523278,371022,25610.46875,18.87034386,eth
16/10/2015,202601.8553,6748,41608900,0.562593,249891,25441.40625,21.17944655,eth
17/10/2015,130246.0168,6508,39515900,0.534117,313860,26450.625,12.29146245,eth
18/10/2015,99784.3085,6442,40550400,0.547913,133690,25848.28125,13.1130126,eth
19/10/2015,266430.6377,6550,38321300,0.517621,243742,25966.71875,11.69921914,eth
20/10/2015,245597.1518,5867,36261200,0.489629,383921,26192.5,11.5270198,eth
21/10/2015,300832.2947,6159,31973600,0.431589,609085,26046.40625,10.15585773,eth
22/10/2015,275561.3181,5909,32977300,0.444988,924822,25330.78125,13.20050484,eth
23/10/2015,437771.3186,6768,41986400,0.56637,878822,27554.84375,13.74794139,eth
