date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,symbol
28/04/2013,47402030.27,9408,73773400,4.3,0,31500,634.1211535,ltc
29/04/2013,39315863.13,9092,74952700,4.37,0,32450,597.0981972,ltc
30/04/2013,39194124.62,9205,75726800,4.4,0,31600,755.4951412,ltc
1/05/2013,74744400.83,8927,73901200,4.29,0,31450,689.159821,ltc
2/05/2013,17099955.13,8290,65242700,3.78,0,28300,551.3278035,ltc
3/05/2013,4980876.265,6517,58607400,3.39,0,19600,388.3949498,ltc
4/05/2013,6266360.983,6373,52476400,3.03,0,20950,402.1970132,ltc
5/05/2013,6023748.711,5637,60525000,3.49,0,21950,298.218364,ltc
6/05/2013,12538829.33,10109,62356000,3.59,0,29200,703.8181778,ltc
7/05/2013,9928692.08,9025,58588300,3.37,0,36400,490.6952946,ltc
8/05/2013,6525432.252,9215,57196300,3.28,0,38200,494.858837,ltc
9/05/2013,9446119.584,12228,59337100,3.4,0,35900,898.9261375,ltc
10/05/2013,8311492.173,11038,59588000,3.41,0,38100,747.4054154,ltc
11/05/2013,18298159.49,7240,60658000,3.46,0,32900,426.6847906,ltc
12/05/2013,8914743.071,6773,59052900,3.36,0,29600,367.2669335,ltc
13/05/2013,6754438.579,6577,57363200,3.26,0,29800,350.9353815,ltc
14/05/2013,7526204.414,7115,57812000,3.28,0,28900,412.6690893,ltc
15/05/2013,6897471.275,6499,49842500,2.82,0,28650,348.4763858,ltc
16/05/2013,6297652.135,7281,51790900,2.93,0,28850,450.9996565,ltc
17/05/2013,6026859.327,7115,51195900,2.89,0,26250,420.4123677,ltc
18/05/2013,5694413.849,5440,56721100,3.2,0,26650,294.4995211,ltc
19/05/2013,6371288.09,5905,58645400,3.3,0,28350,296.5864552,ltc
20/05/2013,4861776.532,6159,58962900,3.31,0,28250,341.1882587,ltc
21/05/2013,6559796.233,6440,56887600,3.19,0,26350,384.8334307,ltc
22/05/2013,6099331.338,5306,55165300,3.09,0,27550,273.3178237,ltc
23/05/2013,6510904.515,5706,55727000,3.12,0,29900,319.3591362,ltc
24/05/2013,7567057.986,6003,56747200,3.17,0,32700,325.9013052,ltc
25/05/2013,7362893.22,5376,57165800,3.19,0,32150,317.7995693,ltc
26/05/2013,5734666.758,4992,56123900,3.12,0,28400,304.2200595,ltc
27/05/2013,6098233.135,4911,58130800,3.23,0,27750,248.305308,ltc
28/05/2013,5716634.251,5161,55916500,3.1,0,30550,250.0263141,ltc
29/05/2013,4957828.843,5088,55814300,3.09,0,28150,266.0022598,ltc
30/05/2013,6448691.442,5264,55640200,3.08,0,30650,287.4394319,ltc
31/05/2013,6267584.599,5031,53813700,2.97,0,29500,239.4670462,ltc
1/06/2013,5947288.661,4490,53372200,2.94,0,29250,238.4688738,ltc
2/06/2013,4791111.91,4273,51378100,2.83,0,28400,209.3701258,ltc
3/06/2013,4491368.118,4526,49688400,2.73,0,27300,224.5971812,ltc
4/06/2013,5296854.236,4831,49268800,2.7,0,28100,282.2552033,ltc
5/06/2013,5070669.684,4470,52338100,2.87,0,29650,261.8443831,ltc
6/06/2013,4448321.617,4505,52595600,2.88,0,28500,227.7477927,ltc
7/06/2013,6741282.476,4744,50890900,2.78,0,32000,298.8922867,ltc
8/06/2013,4782578.612,4512,47770700,2.6,0,34250,251.136824,ltc
9/06/2013,5072734.901,5140,46911500,2.55,0,27050,270.1458631,ltc
10/06/2013,5634679.733,5390,43883900,2.38,0,29900,300.3357771,ltc
11/06/2013,4548280.572,4798,45951500,2.49,0,27050,294.8027739,ltc
12/06/2013,4639123.124,4491,44532400,2.41,0,31500,249.7822042,ltc
13/06/2013,4254115.111,4722,44356700,2.4,0,31300,253.3041829,ltc
14/06/2013,4363632.363,4644,42035700,2.27,0,32750,239.0604097,ltc
15/06/2013,4527297.838,3908,39693000,2.14,0,24100,209.8055602,ltc
16/06/2013,2634441.258,3361,38754600,2.09,0,23750,183.7434663,ltc
17/06/2013,3326076.491,3883,39791100,2.14,0,25950,216.6469153,ltc
18/06/2013,3678034.796,4330,42507000,2.28,0,30050,252.5456394,ltc
19/06/2013,3910097.122,4824,43009600,2.3,0,34450,272.265139,ltc
20/06/2013,2979113.963,4141,42968900,2.3,0,35650,184.1623478,ltc
21/06/2013,2926182.889,4549,43568400,2.33,0,30650,157.6834525,ltc
22/06/2013,2303523.308,5115,53719800,2.86,0,26150,153.4229286,ltc
23/06/2013,3281145.871,4497,54440600,2.9,0,31650,103.6110485,ltc
24/06/2013,2769755.849,4452,58990400,3.13,0,30850,109.6247832,ltc
25/06/2013,4916696.917,4106,53693400,2.85,0,28400,106.0213948,ltc
26/06/2013,5539667.287,4994,52981700,2.81,0,31850,159.7454345,ltc
27/06/2013,4732198.732,4669,54479500,2.88,0,31850,126.7792332,ltc
28/06/2013,4878410.669,4317,57524700,3.04,0,30600,98.0681091,ltc
29/06/2013,4090433.324,3952,52385700,2.76,0,29600,86.42429731,ltc
30/06/2013,4097122.75,3617,52983200,2.79,0,28050,85.90080572,ltc
1/07/2013,4939633.576,4966,57266300,3.01,0,30750,137.1291064,ltc
2/07/2013,4410135.545,5163,56226500,2.95,0,31300,89.96071144,ltc
3/07/2013,4185060.194,5553,54356500,2.85,0,31150,97.97588331,ltc
